Ref,Val,Package,PosX,PosY,Rot,Side
"J48","MSO-P1040H07T","XDCR_MA40S4S",-216.720000,-108.014975,180.000000,bottom
"J49","MSO-P1040H07T","XDCR_MA40S4S",-291.720000,-116.675229,0.000000,bottom
"J50","MSO-P1040H07T","XDCR_MA40S4S",-281.720000,-116.675229,180.000000,bottom
"J51","MSO-P1040H07T","XDCR_MA40S4S",-271.720000,-116.675229,0.000000,bottom
"J52","MSO-P1040H07T","XDCR_MA40S4S",-261.720000,-116.675229,180.000000,bottom
"J53","MSO-P1040H07T","XDCR_MA40S4S",-251.720000,-116.675229,0.000000,bottom
"J54","MSO-P1040H07T","XDCR_MA40S4S",-241.720000,-116.675229,180.000000,bottom
"J55","MSO-P1040H07T","XDCR_MA40S4S",-231.720000,-116.675229,0.000000,bottom
"J56","MSO-P1040H07T","XDCR_MA40S4S",-221.720000,-116.675229,180.000000,bottom
"J57","MSO-P1040H07T","XDCR_MA40S4S",-286.710000,-125.328500,0.000000,bottom
"J58","MSO-P1040H07T","XDCR_MA40S4S",-276.720000,-125.335483,180.000000,bottom
"J59","MSO-P1040H07T","XDCR_MA40S4S",-266.720000,-125.335483,0.000000,bottom
"J60","MSO-P1040H07T","XDCR_MA40S4S",-256.720000,-125.335483,180.000000,bottom
"J61","MSO-P1040H07T","XDCR_MA40S4S",-246.720000,-125.335483,0.000000,bottom
"J62","MSO-P1040H07T","XDCR_MA40S4S",-236.720000,-125.335483,180.000000,bottom
"J63","MSO-P1040H07T","XDCR_MA40S4S",-226.720000,-125.335483,0.000000,bottom
"J64","MSO-P1040H07T","XDCR_MA40S4S",-216.720000,-125.335483,180.000000,bottom
"L1","HI1206T161R-10","IND_HI1206T161R-10_LRD",-309.930000,-119.240000,90.000000,bottom
"L2","74439346100","L_SMD2_WURTH_6.45x6.45x5.8H",-307.243000,-94.841400,90.000000,bottom
"L3","HI1206T161R-10","IND_HI1206T161R-10_LRD",-299.030000,-80.300000,90.000000,bottom
"NTC1","NCP18XH103F03RB","R_0603",-307.860000,-88.240000,90.000000,bottom
"NTC1_ALT1","MF52C1103F3380","R_DIN0204",-309.790000,-89.100000,90.000000,bottom
"P14","SWR204-NRTN-D02-ST-GA","CONN_SWR204_D-02",-305.085000,-133.120000,-90.000000,bottom
"R18","2.55kΩ","R_0603",-295.930000,-90.627500,90.000000,bottom
"R23","0Ω","R_0603",-298.420000,-96.310000,0.000000,bottom
"R24","78.7kΩ","R_0603",-301.380000,-90.377500,180.000000,bottom
"R29","150kΩ","R_0603",-301.380000,-87.497500,0.000000,bottom
"R30","10kΩ","R_0603",-296.660000,-87.500000,0.000000,bottom
"U34","KTS1605EUB-1","IC_WLCSP-6_0.5P",-299.810000,-119.290000,-90.000000,bottom
"U36","TPS55340RTER","IC_WQFN-16_EP_3x3",-300.860000,-93.090000,90.000000,bottom
"U37","PTN04050CAD","CONV_PTN04050CAD",-304.500000,-95.000000,90.000000,bottom
"C1","4.7µF","C_0603_1608Metric",287.550000,-66.475000,-90.000000,top
"C2","100nF","C_0603_1608Metric",286.000000,-66.475000,-90.000000,top
"C3","4.7µF","C_0603_1608Metric",267.550000,-66.475000,-90.000000,top
"C4","100nF","C_0603_1608Metric",266.000000,-66.475000,-90.000000,top
"C5","4.7µF","C_0603_1608Metric",247.550000,-66.475000,-90.000000,top
"C6","100nF","C_0603_1608Metric",246.000000,-66.475000,-90.000000,top
"C7","4.7µF","C_0603_1608Metric",227.550000,-66.475000,-90.000000,top
"C8","100nF","C_0603_1608Metric",226.000000,-66.475000,-90.000000,top
"C9","4.7µF","C_0603_1608Metric",282.600000,-75.050000,-90.000000,top
"C10","100nF","C_0603_1608Metric",281.050000,-75.050000,-90.000000,top
"C11","4.7µF","C_0603_1608Metric",262.600000,-75.050000,-90.000000,top
